,anoFundacao,intervaloFundacao
520,1997.0,Acima de 17 anos
521,2010.0,De 6 a 10 anos
522,2017.0,De 0 a 5 anos
523,1996.0,Acima de 17 anos
524,2014.0,De 6 a 10 anos
525,2008.0,De 11 a 16 anos
526,2017.0,De 0 a 5 anos
527,2018.0,De 0 a 5 anos
528,1981.0,Acima de 17 anos
529,2009.0,De 11 a 16 anos
530,2017.0,De 0 a 5 anos
531,1995.0,Acima de 17 anos
532,1996.0,Acima de 17 anos
533,1966.0,Acima de 17 anos
534,1998.0,Acima de 17 anos
535,1991.0,Acima de 17 anos
536,2017.0,De 0 a 5 anos
537,2007.0,De 11 a 16 anos
538,2000.0,Acima de 17 anos
539,2017.0,De 0 a 5 anos
540,2015.0,De 0 a 5 anos
541,2008.0,De 11 a 16 anos
542,2014.0,De 6 a 10 anos
543,2003.0,Acima de 17 anos
544,1974.0,Acima de 17 anos
545,2009.0,De 11 a 16 anos
546,2016.0,De 0 a 5 anos
547,1995.0,Acima de 17 anos
548,2012.0,De 6 a 10 anos
549,2014.0,De 6 a 10 anos
550,1999.0,Acima de 17 anos
551,,
552,1990.0,Acima de 17 anos
553,2006.0,De 11 a 16 anos
554,2016.0,De 0 a 5 anos
555,2009.0,De 11 a 16 anos
556,2008.0,De 11 a 16 anos
557,2013.0,De 6 a 10 anos
558,2000.0,Acima de 17 anos
559,1965.0,Acima de 17 anos
560,2017.0,De 0 a 5 anos
561,1999.0,Acima de 17 anos
562,2018.0,De 0 a 5 anos
563,1998.0,Acima de 17 anos
564,2017.0,De 0 a 5 anos
565,2012.0,De 6 a 10 anos
566,2013.0,De 6 a 10 anos
567,2014.0,De 6 a 10 anos
568,1995.0,Acima de 17 anos
569,2016.0,De 0 a 5 anos
570,2017.0,De 0 a 5 anos
571,2000.0,Acima de 17 anos
572,2004.0,De 11 a 16 anos
573,2016.0,De 0 a 5 anos
574,1998.0,Acima de 17 anos
575,2017.0,De 0 a 5 anos
576,2009.0,De 11 a 16 anos
577,2002.0,Acima de 17 anos
578,2007.0,De 11 a 16 anos
579,2003.0,Acima de 17 anos
580,2017.0,De 0 a 5 anos
581,2005.0,De 11 a 16 anos
582,1988.0,Acima de 17 anos
583,1972.0,Acima de 17 anos
584,2012.0,De 6 a 10 anos
585,1992.0,Acima de 17 anos
586,2013.0,De 6 a 10 anos
587,2018.0,De 0 a 5 anos
588,2017.0,De 0 a 5 anos
589,1995.0,Acima de 17 anos
590,2009.0,De 11 a 16 anos
591,2017.0,De 0 a 5 anos
592,2010.0,De 6 a 10 anos
593,2003.0,Acima de 17 anos
594,2017.0,De 0 a 5 anos
595,2003.0,Acima de 17 anos
596,2006.0,De 11 a 16 anos
597,1966.0,Acima de 17 anos
598,2018.0,De 0 a 5 anos
599,1992.0,Acima de 17 anos
600,1994.0,Acima de 17 anos
601,1992.0,Acima de 17 anos
602,2003.0,Acima de 17 anos
603,2010.0,De 6 a 10 anos
604,,
605,2015.0,De 0 a 5 anos
606,2008.0,De 11 a 16 anos
607,1984.0,Acima de 17 anos
608,2010.0,De 6 a 10 anos
609,2011.0,De 6 a 10 anos
610,2004.0,De 11 a 16 anos
611,2013.0,De 6 a 10 anos
612,1935.0,Acima de 17 anos
613,2007.0,De 11 a 16 anos
614,2014.0,De 6 a 10 anos
615,2000.0,Acima de 17 anos
616,1991.0,Acima de 17 anos
617,2001.0,Acima de 17 anos
618,2017.0,De 0 a 5 anos
619,2017.0,De 0 a 5 anos
620,2004.0,De 11 a 16 anos
